"","x"
"132","와 하라챠 멋있네요ㅜㅜ 엑스트라의 설정마저도 이렇게 세세한 당신은 갓시우...처음엔 저도 엘레인(카이저) 생각나더라구요...신의탑 갈수록 선악구도가 모호해지는 기분...밤이 적을 처리하면서 찜찜해하는것도 영 마음에 걸리고...이놈의 탑은 도대체 어떻게된 세상인지ㅜㅜ"
"133","ㅋㅋㅋ 공산당 좌파정권, 해줘 풍자"
"134","'이게 만화다'"
"135","'이게 만화다'"
"136","신탑 댓보러 왔다가 전독시 스포당하는거 실화냐......ㅠㅠㅠㅜㅜㅠㅜ!!!!!"
"137","진심 별점 왜이러냐ㅋㅋㅋㅋ그분들이 별점 테러 하시고 가셨나ㅋㅋㅋㅋ불편 하시면 자리를 고쳐 앉으세요"
"138","애니화 매출+네이버 라인 매출+네이버 시리즈 매출 3개 다합치면 월요웹툰 매출씹어먹는게 신의탑인데 ㅋㅋㅋㅋㅋㅋㅋㅋ 팩트를 이야기해줘도 백날 찌라시란다"
"139","신탑 매출이 월요웹툰 매출보다 많다는찌라시는 어디서 가져왔노"
"140","선택적 정의에 찌든 뭐지(MZ)세대를 보는 것 같군"
"141","전지적독자시점보심? 그거 개재밌어요.♥<U+FE0F>유중혁 배후성은 미래의 김독자입니다. '가장오래된꿈'♥<U+FE0F>유상아는 메인히로인이아닙니다! 분량이조금씩줄어들어요.스♥<U+FE0F>멸살법작가는 한수영입니다. tls123=한수영♥<U+FE0F>김독자가 세계최강이 되는 그런내용은아닙니다.포♥<U+FE0F>유중혁이 희귀해도 그세계선은사라지지않아요.하지만잊혀지죠.그렇게 이계의신격이됩니다.주♥<U+FE0F>김독자는 하데스로부터 명계의후계자가됩니다.♥<U+FE0F>전지적독자시점은 초반에는 살아남기위한거같지만 가면갈수록 감동적이에요. 특히 유중혁의 0회차에서 늙은유중혁이 미래의김독자와 배후성계약할때 너무슬펐다는...ㅠ의♥<U+FE0F>수영이누나 사랑해요♡"
"142","중간에 저 신수가 아니고 제 신수 아닌감?"
"143","신탑 매출이 월요웹툰 매출보다 많다는찌라시는 어디서 가져왔노"
"144","""그런 말이 있죠...호의가 계속되면 권리인 줄 안다"""
"145","... 스토리 미쳤다"
"146","하라챠 라샹족일때너무 아카자 같앜ㅋㅋ"
"147","꿀잼"
"148","오 분량 스토리 대박,,"
"149","신의탑 특) 글이 길고 대사가 장황하게 설명돼도 다 읽게됨. 그리고 스크롤의 끝이 안보임"
"150","페미충 멸족한 한 화 뜻깊게 잘 봤습니다"
"151","“해줘!”"
"152","블랙홀은 우주에 있는 거니 그 기술 이름이 떡밥이라니... 그럼 밤 스타더스트는? 밤 기억상으론 별 본적도 없는데. 기술명에 그렇게 의미부여 하는 만화 아님."
"153","악플 같은 건 싹다 무시하시고요"
"154","작가님 웹툰 잘보고 있어요 힘내세요"
"155","라샹족 하나로 몇화씩 안끌었으면 됏지"
"156","유한성은 제로스 모티브로 만든 캐릭터야?"
"157","신탑 매출이 전체 월요웹툰 매출보다많다는 찌라시는 어디서 가져왔노"
"158","하여튼 대깨신은 컨셉에도 풀발해서 지한테 엿을먹여ㅋㅋ"
"159","미국에서 이 만화를 봤으면 복지만 달라고 하는 호밍문화의 흑인들을 떠올리겠지 복지로 망한 나라는 과도한 복지에 찌들어 나약해진 국민들을 떠올릴테고 ㅋㅋ 이 만화를 보고 해줘세대 한녀들을 떠올리는건 작가가 의도했다기 보다는 그냥 한국에서 해줘세대 한녀들이 페미니즘에 빠져서 딱 저런 이기적인 행동들을 하니까 자연스럽게 떠올리는것"
"160","""해줘"""
"161","분량이 진짜 미쳤네"
"162","안끝나.. 스크롤을 내려도..."
"163","작가님, 이 웹툰을 유료화하여 그 수익을 공산당에 바치십시오. 그 돈은 소련을 위하여 잘 쓰도록 하겠습니다"
"164","내가 바연길에서 페미 사냥하는 동안 니들은 뭐하고 있었냐"
"165","app 게이야.."
"166","작가님이 한녀를 저격한것도 아니고 독자들이 과대 해석을 한것도 아님... 그냥 현재 대한민국에서 해줘를 가장 외치면서 고마운줄 모르고 징징 거리는 세대가 20대 한녀라서 자연스럽게 해줘세대 한녀들이 떠오르는것 뿐임"
"167","항상 남자라는게 어색해..."
"168","여자를 사랑해라 종족을 사랑하는건 너무 광범위하잔아"
"169","페미들 이번화보고 찔렸겠네ㅋㅋㅋ"
"170","내가 여기서 도순이 대마시아 소련 기타 컨셉 빌려가며도배한게 얼만데 아무도 기억못하고 ""컨셉질이라고 정신승리하지 마시고요~""이러고 있노ㅋㅋ"
"171","분량 지리네..."
"172","원래 대깨신들 보면 대다수는 다 페미들임 ㅇㅇ"
"173","자 엑스트라 하나에 우리나라 현실이 보이네. 노력은 하지 않고 가지려고만 하는 복지에 미친 노예근성"
"174","소비에트 사회주의 공화국 연방Союз Советских Социалистических РеспубликUnion of Soviet Socialist Republics 수도: 모스크바면적: 22,402,200km²위치: 동유럽, 중앙아시아, 북아시아 인구: 289,000,000여 명 (여기에 시우 작가님 추가로 들어오실 예정) 민족: 러시아인 51%, 우크라이나인 15%, 우즈베크인 6% 등 언어: 러시아어 ｜ 라트비아어 ｜ 루마니아어 ｜ 리투아니아어 ｜ 벨라루스어 ｜ 아르메니아어 ｜ 아제르바이잔어 ｜ 에스토니아어 ｜ 우즈베크어 ｜ 우크라이나어 ｜ 조지아어 ｜ 카자흐어 ｜ 키르기스어 ｜ 타지크어 ｜ 투르크멘어지도자: 블라디미르 레닌, 이오시프 스탈린, 니키타 흐루쇼프, 레오니트 브레즈네프, 미하일 고르바초프, 보리스 옐친 여당: 소련 공산당 평가: 모두가 살고 싶은 나라 1순위"
"175","그치 평등하게 노력해야지"
"176","페미는 사실 보증수표임ㅋㅋ 페미한테 좌표찍히면 적어도 바르게 살고 있는 사람이라는 의미거든. 마치 유해사이트 방지 어플 평점 같은 느낌이랄까?"
"177","한남이 싫어서 도배를 했겠냐대깨신을 극혐해서 도배를 했겠냐"
"178","우리 언냐들 찔려서 어카누"
"179","해줘 풍자 지대로 했네 ㅋㅋㅋㅋㅋㅋㅋ"
"180","분량 미쳤다"
"181","페미 저격하는 웹툰 손절할게요 ㅋㅋ한남이 그리는 웹툰이 그렇지 ㅋㅋ"
"182","한남 평균 13대깨신 평균6.9"
"183","와 신의탑 연재 진짜 많이했다고 생각했는데 마음의소리는 1200회 넘는걸 보고 신기하다"
"184","공산당 가입을 축하드립니다 작가님"
"185","'해줘' 풍자한거임?"
"186","이거 완전 폐미얘기네 ㅋㅋㅋ"
"187","컨셉질이라고 정신승리 하지 마시고요~ 아~ 남자라는게 컨셉?"
"188","컨셉질이라니까?"
"189","‘사실 나 남자고’ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 봐봐 또 선동질한다니까남자를 그렇게 싫어하면서 남자코스프레를 왜해"
"190","이거 언제 끝나냐"
"191","오팔육 세대 풍자한거 아님 ? 이거 꿀빨다가 꼰대 대깨문된 그세대들"
"192","작작하자"
"193","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"194","걸 스캔 두 애니띵"
"195","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"196","아카자 남페미짓 하다가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 통수ㅋㅋㅋㅋ"
"197","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"198","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"199","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"200","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"201","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"202","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"203","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"204","도대체 이게 왜 페미 저격인데,, 어딜봐서 여혐이라고 난리치는거냐고 ㅋㅋ 또 니들은 왜 여혐아니다 라고 하면서 저걸 그 무리 라고 칭하면서 여혐이라는 분위기를 만들어가는데도대체 왜 싸우냐 양쪽 다 이해안간다 ;;"
"205","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
"206","마지막 똥글이니까 잘 읽어봐사실 나 남자고 지금까지는 컨셉질이었다밑에 4개빼고는 전부 댓삭했어페미글 보고 부들거리지 않고 그냥설렁설렁 넘기니까 대미지도 없고 좋더라니들도 이악물고 싸울 생각만 하지 말고적당히 넘기면서 들어라"
